Rank,Name,Benchmark,Price,URL

1,Intel Core i5-13600K $301,122.0,301,https://cpu.userbenchmark.com/Intel-Core-i5-13600K/Rating/4134

2,Intel Core i5-12600K $227,109.0,227,https://cpu.userbenchmark.com/Intel-Core-i5-12600K/Rating/4120

3,Intel Core i5-12400F $157,98.3,157,https://cpu.userbenchmark.com/Intel-Core-i5-12400F/Rating/4121

4,Intel Core i3-12100F $96,94.1,96,https://cpu.userbenchmark.com/Intel-Core-i3-12100F/Rating/4125

5,Intel Core i7-13700K $407,126.0,407,https://cpu.userbenchmark.com/Intel-Core-i7-13700K/Rating/4137

6,Intel Core i9-13900K $549,129.0,549,https://cpu.userbenchmark.com/Intel-Core-i9-13900K/Rating/4129

7,AMD Ryzen 5 3600 $100,83.1,100,https://cpu.userbenchmark.com/AMD-Ryzen-5-3600/Rating/4040

8,AMD Ryzen 5 5600X $143,96.0,143,https://cpu.userbenchmark.com/AMD-Ryzen-5-5600X/Rating/4084

9,Intel Core i5-13600KF $280,122.0,280,https://cpu.userbenchmark.com/SpeedTest/1950757/13th-Gen-IntelR-CoreTM-i5-13600KF

10,Intel Core i5-12400 $185,98.1,185,https://cpu.userbenchmark.com/Intel-Core-i5-12400/Rating/4122

11,Intel Core i7-11700K $262,101.0,262,https://cpu.userbenchmark.com/Intel-Core-i7-11700K/Rating/4107

12,Intel Core i7-9700K $350,96.9,350,https://cpu.userbenchmark.com/Intel-Core-i7-9700K/Rating/4030

13,Intel Core i5-11600K $185,99.2,185,https://cpu.userbenchmark.com/Intel-Core-i5-11600K/Rating/4113

14,Intel Core i5-9600K $230,93.2,230,https://cpu.userbenchmark.com/Intel-Core-i5-9600K/Rating/4031

15,Intel Core i5-10600K $181,92.2,181,https://cpu.userbenchmark.com/Intel-Core-i5-10600K/Rating/4072

16,Intel Core i5-11400F $130,94.1,130,https://cpu.userbenchmark.com/Intel-Core-i5-11400F/Rating/4111

17,Intel Core i5-11400 $133,94.2,133,https://cpu.userbenchmark.com/Intel-Core-i5-11400/Rating/4112

18,Intel Core i7-12700K $287,114.0,287,https://cpu.userbenchmark.com/Intel-Core-i7-12700K/Rating/4119

19,Intel Core i3-12100 $132,93.9,132,https://cpu.userbenchmark.com/Intel-Core-i3-12100/Rating/4126

20,Intel Core i5-13400F $209,106.0,209,https://cpu.userbenchmark.com/Intel-Core-i5-13400F/Rating/4144

21,AMD Ryzen 7 3700X $255,85.9,255,https://cpu.userbenchmark.com/AMD-Ryzen-7-3700X/Rating/4043

22,Intel Core i7-10700K $260,96.5,260,https://cpu.userbenchmark.com/Intel-Core-i7-10700K/Rating/4070

23,Intel Core i3-10100 $110,79.9,110,https://cpu.userbenchmark.com/Intel-Core-i3-10100/Rating/4075

24,Intel Core i5-10400F $103,85.2,103,https://cpu.userbenchmark.com/Intel-Core-i5-10400F/Rating/4079

25,Intel Core i3-10100F $66,80.4,66,https://cpu.userbenchmark.com/Intel-Core-i3-10100F/Rating/4082

26,Intel Core i5-10600KF $176,91.9,176,https://cpu.userbenchmark.com/SpeedTest/1225152/IntelR-CoreTM-i5-10600KF-CPU---410GHz

27,AMD Ryzen 7 5800X $179,98.0,179,https://cpu.userbenchmark.com/AMD-Ryzen-7-5800X/Rating/4085

28,Intel Core i7-4790K,78.9,-1,https://cpu.userbenchmark.com/Intel-Core-i7-4790K/Rating/2384

29,Intel Core i5-9400F $128,84.8,128,https://cpu.userbenchmark.com/Intel-Core-i5-9400F/Rating/4051

30,Intel Core i3-9100F $120,80.1,120,https://cpu.userbenchmark.com/Intel-Core-i3-9100F/Rating/4054

31,Intel Core i5-10400 $125,84.5,125,https://cpu.userbenchmark.com/Intel-Core-i5-10400/Rating/4073

32,Intel Core i3-13100F $111,96.1,111,https://cpu.userbenchmark.com/Intel-Core-i3-13100F/Rating/4143

33,Intel Core i9-9900K $330,97.9,330,https://cpu.userbenchmark.com/Intel-Core-i9-9900K/Rating/4028

34,AMD Ryzen 5 2600X $213,74.0,213,https://cpu.userbenchmark.com/AMD-Ryzen-5-2600X/Rating/3956

35,Intel Core i5-13500 $248,113.0,248,https://cpu.userbenchmark.com/Intel-Core-i5-13500/Rating/4147

36,Intel Core i7-7700K $301,84.0,301,https://cpu.userbenchmark.com/Intel-Core-i7-7700K/Rating/3647

37,Intel Core i9-12900K $401,117.0,401,https://cpu.userbenchmark.com/Intel-Core-i9-12900K/Rating/4118

38,Intel Core i5-9600KF $175,93.2,175,https://cpu.userbenchmark.com/SpeedTest/772658/IntelR-CoreTM-i5-9600KF-CPU---370GHz

39,Intel Core i7-8700K $281,88.4,281,https://cpu.userbenchmark.com/Intel-Core-i7-8700K/Rating/3937

