Rank,Name,Benchmark,Price,URL

1,Nvidia RTX 3060 $370,100.0,370,https://gpu.userbenchmark.com/Nvidia-RTX-3060/Rating/4105

2,Nvidia RTX 4070-Ti $830,240.0,830,https://gpu.userbenchmark.com/Nvidia-RTX-4070-Ti/Rating/4146

3,Nvidia RTX 3060-Ti $419,129.0,419,https://gpu.userbenchmark.com/Nvidia-RTX-3060-Ti/Rating/4090

4,Nvidia GTX 1660S (Super) $228,71.4,228,https://gpu.userbenchmark.com/Nvidia-GTX-1660S-Super/Rating/4056

5,Nvidia RTX 3070 $548,148.0,548,https://gpu.userbenchmark.com/Nvidia-RTX-3070/Rating/4083

6,Nvidia RTX 3050 $250,74.7,250,https://gpu.userbenchmark.com/Nvidia-RTX-3050/Rating/4127

7,Nvidia RTX 3080 $735,187.0,735,https://gpu.userbenchmark.com/Nvidia-RTX-3080/Rating/4080

8,"Nvidia RTX 4090 $1,650",371.0,1650,https://gpu.userbenchmark.com/Nvidia-RTX-4090/Rating/4136

9,Nvidia GTX 1060-6GB,56.1,-1,https://gpu.userbenchmark.com/Nvidia-GTX-1060-6GB/Rating/3639

10,Nvidia RTX 2060 $350,89.8,350,https://gpu.userbenchmark.com/Nvidia-RTX-2060/Rating/4034

11,"Nvidia RTX 4080 $1,199",290.0,1199,https://gpu.userbenchmark.com/Nvidia-RTX-4080/Rating/4138

12,"Nvidia RTX 2070S (Super) $1,810",115.0,1810,https://gpu.userbenchmark.com/Nvidia-RTX-2070S-Super/Rating/4048

13,Nvidia RTX 2060S (Super),99.8,-1,https://gpu.userbenchmark.com/Nvidia-RTX-2060S-Super/Rating/4049

14,Nvidia GTX 1650S (Super) $339,58.7,339,https://gpu.userbenchmark.com/Nvidia-GTX-1650S-Super/Rating/4058

15,Nvidia GTX 1660-Ti $430,76.0,430,https://gpu.userbenchmark.com/Nvidia-GTX-1660-Ti/Rating/4037

16,Nvidia GTX 1650 $188,42.8,188,https://gpu.userbenchmark.com/Nvidia-GTX-1650/Rating/4039

17,"Nvidia GTX 1070 $2,500",79.7,2500,https://gpu.userbenchmark.com/Nvidia-GTX-1070/Rating/3609

18,Nvidia GTX 1050-Ti $181,29.3,181,https://gpu.userbenchmark.com/Nvidia-GTX-1050-Ti/Rating/3649

19,AMD RX 580 $185,51.6,185,https://gpu.userbenchmark.com/AMD-RX-580/Rating/3923

20,AMD RX 590,56.9,-1,https://gpu.userbenchmark.com/AMD-RX-590/Rating/4033

21,Nvidia GTX 1080-Ti $500,124.0,500,https://gpu.userbenchmark.com/Nvidia-GTX-1080-Ti/Rating/3918

22,Nvidia RTX 2080S (Super),131.0,-1,https://gpu.userbenchmark.com/Nvidia-RTX-2080S-Super/Rating/4050

23,Nvidia GTX 1660 $250,68.3,250,https://gpu.userbenchmark.com/Nvidia-GTX-1660/Rating/4038

24,Nvidia GTX 1080,102.0,-1,https://gpu.userbenchmark.com/Nvidia-GTX-1080/Rating/3603

25,"Nvidia RTX 2080-Ti $2,999",156.0,2999,https://gpu.userbenchmark.com/Nvidia-RTX-2080-Ti/Rating/4027

26,"Nvidia RTX 3090 $1,300",210.0,1300,https://gpu.userbenchmark.com/Nvidia-RTX-3090/Rating/4081

27,Nvidia GTX 1070-Ti,93.7,-1,https://gpu.userbenchmark.com/Nvidia-GTX-1070-Ti/Rating/3943

28,Nvidia GTX 970,49.1,-1,https://gpu.userbenchmark.com/Nvidia-GTX-970/Rating/2577

29,AMD RX 5700,85.0,-1,https://gpu.userbenchmark.com/AMD-RX-5700/Rating/4046

30,AMD RX 570 $350,44.7,350,https://gpu.userbenchmark.com/AMD-RX-570/Rating/3924

31,Nvidia GTX 980-Ti,79.0,-1,https://gpu.userbenchmark.com/Nvidia-GTX-980-Ti/Rating/3439

32,AMD RX 6600-XT $300,107.0,300,https://gpu.userbenchmark.com/AMD-RX-6600-XT/Rating/4117

33,Nvidia RTX 2070 $500,104.0,869,https://gpu.userbenchmark.com/Nvidia-RTX-2070/Rating/4029

34,Nvidia GTX 1060-3GB,52.0,-1,https://gpu.userbenchmark.com/Nvidia-GTX-1060-3GB/Rating/3646

35,Nvidia GTX 980,59.3,-1,https://gpu.userbenchmark.com/Nvidia-GTX-980/Rating/2576

