Rank,Name,Benchmark,Price,URL,Capacity
1,Seagate Barracuda 1TB (2016) $34,92.3,34,https://hdd.userbenchmark.com/Seagate-Barracuda-1TB-2016/Rating/3896,1000
2,WD Blue 1TB (2012) $30,83.4,30,https://hdd.userbenchmark.com/WD-Blue-1TB-2012/Rating/1779,1000
3,Seagate Barracuda 2TB (2016) $70,91.6,70,https://hdd.userbenchmark.com/Seagate-Barracuda-2TB-2016/Rating/3897,2000
4,Seagate Barracuda 3TB (2016) $101,92.1,101,https://hdd.userbenchmark.com/Seagate-Barracuda-3TB-2016/Rating/3898,3000
5,WD Black 1TB (2013) $46,82.3,46,https://hdd.userbenchmark.com/WD-Black-1TB-2013/Rating/1822,1000
6,Seagate Barracuda 7200.14 1TB $28,89.2,28,https://hdd.userbenchmark.com/Seagate-Barracuda-720014-1TB/Rating/1849,1000
7,Seagate Barracuda 4TB (2016) $68,82.4,68,https://hdd.userbenchmark.com/Seagate-Barracuda-4TB-2016/Rating/3899,4000
8,WD Black 2TB (2013) $75,88.5,75,https://hdd.userbenchmark.com/WD-Black-2TB-2013/Rating/1821,2000
9,WD VelociRaptor 1TB,94.6,-1,https://hdd.userbenchmark.com/WD-VelociRaptor-1TB/Rating/1389,1000
10,WD Black 6TB (2015) $296,91.6,296,https://hdd.userbenchmark.com/WD-Black-6TB-2015/Rating/3519,6000
11,Seagate FireCuda SSHD 2TB (2016) $127,84.5,127,https://hdd.userbenchmark.com/Seagate-FireCuda-SSHD-2TB-2016/Rating/3903,2000
12,Seagate Barracuda 7200.14 3TB $82,88.3,82,https://hdd.userbenchmark.com/Seagate-Barracuda-720014-3TB/Rating/1374,3000
13,Toshiba MD04ACA400 4TB,81.8,-1,https://hdd.userbenchmark.com/Toshiba-MD04ACA400-4TB/Rating/3202,4000
14,Seagate Desktop SSHD 1TB $67,83.2,67,https://hdd.userbenchmark.com/Seagate-Desktop-SSHD-1TB/Rating/1784,1000
15,Seagate Desktop SSHD 2TB,83.0,-1,https://hdd.userbenchmark.com/Seagate-Desktop-SSHD-2TB/Rating/1783,2000
16,Toshiba DT01ACA300 3TB $99,84.7,99,https://hdd.userbenchmark.com/Toshiba-DT01ACA300-3TB/Rating/2735,3000
17,Seagate Barracuda 7200.14 2TB $55,88.2,55,https://hdd.userbenchmark.com/Seagate-Barracuda-720014-2TB/Rating/1619,2000
18,Toshiba P300 2TB,87.9,-1,https://hdd.userbenchmark.com/Toshiba-P300-2TB/Rating/3590,2000
19,Toshiba P300 3TB $81,86.6,81,https://hdd.userbenchmark.com/Toshiba-P300-3TB/Rating/3591,3000
20,Toshiba P300 1TB $43,84.1,43,https://hdd.userbenchmark.com/Toshiba-P300-1TB/Rating/3589,1000
21,Seagate Desktop SSHD 4TB,72.5,-1,https://hdd.userbenchmark.com/Seagate-Desktop-SSHD-4TB/Rating/2668,4000
22,WD Red Pro 4TB (2014) $240,84.1,240,https://hdd.userbenchmark.com/WD-Red-Pro-4TB-2014/Rating/2664,4000
23,Toshiba DT01ACA200 2TB $50,85.7,50,https://hdd.userbenchmark.com/Toshiba-DT01ACA200-2TB/Rating/2736,2000
24,WD Red 4TB (2013) $86,74.9,86,https://hdd.userbenchmark.com/WD-Red-4TB-2013/Rating/3525,4000
25,WD Blue 4TB (2015) $85,80.2,85,https://hdd.userbenchmark.com/WD-Blue-4TB-2015/Rating/3523,4000
26,Toshiba DT01ACA100 1TB $40,84.0,40,https://hdd.userbenchmark.com/Toshiba-DT01ACA100-1TB/Rating/2737,1000
27,Toshiba X300 4TB $149,84.0,149,https://hdd.userbenchmark.com/Toshiba-X300-4TB/Rating/3592,4000
28,HGST Deskstar NAS 4TB $177,73.0,177,https://hdd.userbenchmark.com/HGST-Deskstar-NAS-4TB/Rating/1971,4000
29,WD Black 4TB (2016) $185,92.4,185,https://hdd.userbenchmark.com/WD-Black-4TB-2016/Rating/3908,4000
30,Seagate IronWolf 4TB (2016) $75,89.6,75,https://hdd.userbenchmark.com/Seagate-IronWolf-4TB-2016/Rating/3906,4000
31,Seagate FireCuda SSHD 1TB (2016),81.8,-1,https://hdd.userbenchmark.com/Seagate-FireCuda-SSHD-1TB-2016/Rating/3902,1000
32,WD Gold 12TB (2017) $225,113.0,225,https://hdd.userbenchmark.com/SpeedTest/391336/WDC-WD121KRYZ-01,12000
33,Seagate Barracuda 2TB (2018) $40,86.9,40,https://hdd.userbenchmark.com/SpeedTest/466743/ST2000DM008-2FR102,2000
34,"Seagate Laptop SSHD 2.5"" 1TB $30",48.5,30,https://hdd.userbenchmark.com/Seagate-Laptop-SSHD-25--1TB/Rating/1804,1000
35,"HGST Travelstar 7K1000 2.5"" 1TB",59.1,-1,https://hdd.userbenchmark.com/SpeedTest/975/HGST-HTS721010A9E630,1000
36,Toshiba X300 5TB,88.2,-1,https://hdd.userbenchmark.com/Toshiba-X300-5TB/Rating/3593,5000
37,WD Green 3TB (2011),62.3,-1,https://hdd.userbenchmark.com/WD-Green-3TB-2011/Rating/1415,3000
38,WD Purple 2TB (2014) $61,66.2,61,https://hdd.userbenchmark.com/WD-Purple-2TB-2014/Rating/2662,2000
39,Seagate Barracuda 7200.14 500GB $18,58.4,18,https://hdd.userbenchmark.com/SpeedTest/712/ST500DM002-1BD142,500
40,WD Blue 3TB (2015) $46,70.6,46,https://hdd.userbenchmark.com/WD-Blue-3TB-2015/Rating/3522,3000
41,WD Blue 2TB (2015) $52,64.8,52,https://hdd.userbenchmark.com/WD-Blue-2TB-2015/Rating/3521,2000
42,Toshiba X300 6TB,86.8,-1,https://hdd.userbenchmark.com/Toshiba-X300-6TB/Rating/3594,6000
43,Seagate Barracuda 500GB (2016) $30,80.9,30,https://hdd.userbenchmark.com/Seagate-Barracuda-500GB-2016/Rating/3909,500
44,Seagate Barracuda Pro 10TB (2016) $110,81.7,110,https://hdd.userbenchmark.com/Seagate-Barracuda-Pro-10TB-2016/Rating/3901,10000
45,WD Black 6TB (2016) $166,97.8,166,https://hdd.userbenchmark.com/WD-Black-6TB-2016/Rating/3927,6000
46,WD Green 2TB (2011) $55,50.9,55,https://hdd.userbenchmark.com/WD-Green-2TB-2011/Rating/1850,2000
47,Samsung Spinpoint F3 1TB $88,59.2,88,https://hdd.userbenchmark.com/Samsung-Spinpoint-F3-1TB/Rating/1848,1000
48,Seagate Video SV35.6 Series 2TB $50,89.0,50,https://hdd.userbenchmark.com/Seagate-Video-SV356-Series-2TB/Rating/1816,2000
49,WD Red 2TB (2012) $63,66.4,63,https://hdd.userbenchmark.com/WD-Red-2TB-2012/Rating/1789,2000
50,WD Black 4TB (2012) $342,74.1,342,https://hdd.userbenchmark.com/WD-Black-4TB-2012/Rating/1599,4000
51,WD Black 1TB (2010) $65,56.8,65,https://hdd.userbenchmark.com/WD-Black-1TB-2010/Rating/1580,1000
52,WD Red 3TB (2012) $103,67.3,103,https://hdd.userbenchmark.com/WD-Red-3TB-2012/Rating/1386,3000
53,Samsung HD502HJ 500GB,58.4,-1,https://hdd.userbenchmark.com/SpeedTest/1184/SAMSUNG-HD502HJ,500
