Rank,Name,Benchmark,Price,URL,Capacity
1,Corsair Vengeance LPX DDR4 3200 C16 2x8GB $40,85.1,40,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-3200-C16-2x8GB/Rating/3547,16
1,Corsair Vengeance LPX DDR4 3200 C16 4x8GB $80,97.86499999999998,80,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-3200-C16-2x8GB/Rating/3547,32
2,Corsair Vengeance LPX DDR4 3000 C15 2x8GB $50,81.9,50,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-3000-C15-2x8GB/Rating/3546,16
2,Corsair Vengeance LPX DDR4 3000 C15 4x8GB $100,94.185,100,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-3000-C15-2x8GB/Rating/3546,32
4,G.SKILL Ripjaws V DDR4 3200 C16 2x8GB $43,84.0,43,https://ram.userbenchmark.com/SpeedTest/89324/GSKILL-F4-3200C16-8GVKB-2x8GB,16
4,G.SKILL Ripjaws V DDR4 3200 C16 4x8GB $86,96.6,86,https://ram.userbenchmark.com/SpeedTest/89324/GSKILL-F4-3200C16-8GVKB-2x8GB,32
7,Corsair Vengeance LPX DDR4 2666 C16 2x8GB $44,76.7,44,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-2666-C16-2x8GB/Rating/3545,16
7,Corsair Vengeance LPX DDR4 2666 C16 4x8GB $88,88.205,88,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-2666-C16-2x8GB/Rating/3545,32
8,G.SKILL Trident Z RGB DDR4 3200 C16 2x8GB $60,84.3,60,https://ram.userbenchmark.com/SpeedTest/231020/GSKILL-F4-3200C16-8GTZR-2x8GB,16
8,G.SKILL Trident Z RGB DDR4 3200 C16 4x8GB $120,96.945,120,https://ram.userbenchmark.com/SpeedTest/231020/GSKILL-F4-3200C16-8GTZR-2x8GB,32
10,Corsair Vengeance RGB PRO DDR4 3200 C15 2x8GB $65,80.5,65,https://ram.userbenchmark.com/SpeedTest/523893/Corsair-CMW16GX4M2C3000C15-2x8GB,16
10,Corsair Vengeance RGB PRO DDR4 3200 C15 4x8GB $130,92.57499999999999,130,https://ram.userbenchmark.com/SpeedTest/523893/Corsair-CMW16GX4M2C3000C15-2x8GB,32
12,Corsair Vengeance LPX DDR4 2133 C13 2x8GB $45,69.2,45,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-2133-C13-2x8GB/Rating/3543,16
12,Corsair Vengeance LPX DDR4 2133 C13 4x8GB $90,79.58,90,https://ram.userbenchmark.com/Corsair-Vengeance-LPX-DDR4-2133-C13-2x8GB/Rating/3543,32
16,Crucial Ballistix Sport LT DDR4 2400 C16 2x8GB $144,76.9,144,https://ram.userbenchmark.com/Crucial-Ballistix-Sport-LT-DDR4-2400-C16-2x8GB/Rating/3638,16
16,Crucial Ballistix Sport LT DDR4 2400 C16 4x8GB $288,88.435,288,https://ram.userbenchmark.com/Crucial-Ballistix-Sport-LT-DDR4-2400-C16-2x8GB/Rating/3638,32
19,G.SKILL Flare X DDR4 3200 C14 2x8GB $75,97.8,75,https://ram.userbenchmark.com/SpeedTest/255366/GSKILL-F4-3200C14-8GFX-2x8GB,16
19,G.SKILL Flare X DDR4 3200 C14 4x8GB $150,112.46999999999998,150,https://ram.userbenchmark.com/SpeedTest/255366/GSKILL-F4-3200C14-8GFX-2x8GB,32
26,HyperX Fury DDR4 2133 C14 1x8GB $56,40.2,56,https://ram.userbenchmark.com/HyperX-Fury-DDR4-2133-C14-1x8GB/Rating/3555,8
26,HyperX Fury DDR4 2133 C14 2x8GB $112,46.23,112,https://ram.userbenchmark.com/HyperX-Fury-DDR4-2133-C14-1x8GB/Rating/3555,16
28,Corsair Vengeance RGB PRO DDR4 3200 C16 2x16GB $144,88.5,144,https://ram.userbenchmark.com/SpeedTest/587593/Corsair-CMW32GX4M2C3200C16-2x16GB,32
28,Corsair Vengeance RGB PRO DDR4 3200 C16 4x16GB $288,101.77499999999999,288,https://ram.userbenchmark.com/SpeedTest/587593/Corsair-CMW32GX4M2C3200C16-2x16GB,64
31,G.SKILL Ripjaws V DDR4 2133 C15 2x8GB $40,67.9,40,https://ram.userbenchmark.com/GSKILL-Ripjaws-V-DDR4-2133-C15-2x8GB/Rating/3632,16
31,G.SKILL Ripjaws V DDR4 2133 C15 4x8GB $80,78.085,80,https://ram.userbenchmark.com/GSKILL-Ripjaws-V-DDR4-2133-C15-2x8GB/Rating/3632,32
33,G.SKILL Ripjaws V DDR4 3200 C16 4x16GB $140,94.5,140,https://ram.userbenchmark.com/GSKILL-Ripjaws-V-DDR4-3200-C16-4x16GB/Rating/3564,64
33,G.SKILL Ripjaws V DDR4 3200 C16 4x16GB $280,108.675,280,https://ram.userbenchmark.com/GSKILL-Ripjaws-V-DDR4-3200-C16-4x16GB/Rating/3564,128
34,G.SKILL Ripjaws 4 DDR4 2400 C15 2x8GB $59,70.6,59,https://ram.userbenchmark.com/GSKILL-Ripjaws-4-DDR4-2400-C15-2x8GB/Rating/3551,16
34,G.SKILL Ripjaws 4 DDR4 2400 C15 4x8GB $118,81.18999999999998,118,https://ram.userbenchmark.com/GSKILL-Ripjaws-4-DDR4-2400-C15-2x8GB/Rating/3551,32
