Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
CPU,BX8071513900KS,Intel,Core i9-13900KS,1,131,236,https://cpu.userbenchmark.com/SpeedTest/2000819/13th-Gen-IntelR-CoreTM-i9-13900KS
CPU,BX8071513900KF,Intel,Core i9-13900KF,2,129,3180,https://cpu.userbenchmark.com/SpeedTest/1946957/13th-Gen-IntelR-CoreTM-i9-13900KF
CPU,BX8071513900K,Intel,Core i9-13900K,3,129,10528,https://cpu.userbenchmark.com/Intel-Core-i9-13900K/Rating/4129
CPU,BX8071513700K,Intel,Core i7-13700K,4,126,10285,https://cpu.userbenchmark.com/Intel-Core-i7-13700K/Rating/4137
CPU,BX8071513700KF,Intel,Core i7-13700KF,5,126,5117,https://cpu.userbenchmark.com/SpeedTest/1925886/13th-Gen-IntelR-CoreTM-i7-13700KF
CPU,BX8071513900F,Intel,Core i9-13900F,6,124,26,https://cpu.userbenchmark.com/SpeedTest/1994287/13th-Gen-IntelR-CoreTM-i9-13900F
CPU,BX8071513600KF,Intel,Core i5-13600KF,7,122,6017,https://cpu.userbenchmark.com/SpeedTest/1950757/13th-Gen-IntelR-CoreTM-i5-13600KF
CPU,BX8071513600K,Intel,Core i5-13600K,8,122,9918,https://cpu.userbenchmark.com/Intel-Core-i5-13600K/Rating/4134
CPU,BX8071513700,Intel,Core i7-13700,9,121,61,https://cpu.userbenchmark.com/SpeedTest/1963418/13th-Gen-IntelR-CoreTM-i7-13700
CPU,BX8071513700F,Intel,Core i7-13700F,10,121,105,https://cpu.userbenchmark.com/SpeedTest/1997481/13th-Gen-IntelR-CoreTM-i7-13700F
CPU,BX8071512900KS,Intel,Core i9-12900KS,11,119,3230,https://cpu.userbenchmark.com/SpeedTest/1821519/12th-Gen-IntelR-CoreTM-i9-12900KS
CPU,BX8071512900KF,Intel,Core i9-12900KF,12,118,8569,https://cpu.userbenchmark.com/SpeedTest/1685583/12th-Gen-IntelR-CoreTM-i9-12900KF
CPU,BX8071512900K,Intel,Core i9-12900K,13,117,48653,https://cpu.userbenchmark.com/Intel-Core-i9-12900K/Rating/4118
CPU,BX8071513600,Intel,Core i5-13600,14,116,12,https://cpu.userbenchmark.com/SpeedTest/2013466/13th-Gen-IntelR-CoreTM-i5-13600
CPU,100-100000514WOF,AMD,Ryzen 9 7950X,15,114,631,https://cpu.userbenchmark.com/AMD-Ryzen-9-7950X/Rating/4133
CPU,BX8071512700K,Intel,Core i7-12700K,16,114,60685,https://cpu.userbenchmark.com/Intel-Core-i7-12700K/Rating/4119
CPU,100-100000589WOF,AMD,Ryzen 9 7900X,17,113,554,https://cpu.userbenchmark.com/AMD-Ryzen-9-7900X/Rating/4132
CPU,BX8071512700KF,Intel,Core i7-12700KF,18,113,29297,https://cpu.userbenchmark.com/SpeedTest/1699429/12th-Gen-IntelR-CoreTM-i7-12700KF
CPU,BX8071512900F,Intel,Core i9-12900F,19,113,987,https://cpu.userbenchmark.com/SpeedTest/1757838/12th-Gen-IntelR-CoreTM-i9-12900F
