Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
HDD,WD121KRYZ,WD,Gold 12TB (2017),1,113,1221,https://hdd.userbenchmark.com/SpeedTest/391336/WDC-WD121KRYZ-01
HDD,WD101KRYZ,WD,Gold 10TB (2016),2,107,1110,https://hdd.userbenchmark.com/SpeedTest/171115/WDC-WD101KRYZ-01JPDB0
HDD,WD6002FRYZ,WD,Gold 6TB (2016) ,3,101,2043,https://hdd.userbenchmark.com/SpeedTest/167511/WDC-WD6002FRYZ-01WD5
HDD,WD8003FRYZ,WD,Gold 8TB (256MB Cache 2017),4,100,695,https://hdd.userbenchmark.com/SpeedTest/388081/WDC-WD8003FRYZ-01JPDB1
HDD,WD6002FFWX,WD,Red Pro 6TB (2015),5,99.8,995,https://hdd.userbenchmark.com/SpeedTest/139230/WDC-WD6002FFWX-68TZ4N0
HDD,WD6002FZWX,WD,Black 6TB (2016),6,97.8,6443,https://hdd.userbenchmark.com/WD-Black-6TB-2016/Rating/3927
HDD,0S03839,HGST,Deskstar NAS 6TB,7,94.9,974,https://hdd.userbenchmark.com/SpeedTest/22222/HGST-HDN726060ALE610
HDD,WD8002FRYZ,WD,Gold 8TB (128MB Cache 2016),8,94.8,288,https://hdd.userbenchmark.com/SpeedTest/226349/WDC-WD8002FRYZ-01FF2B0
HDD,WD1000DHTZ,WD,VelociRaptor 1TB,9,94.6,8165,https://hdd.userbenchmark.com/WD-VelociRaptor-1TB/Rating/1389
HDD,ST3000NC002,Seagate,Constellation CS 3TB,10,93.9,667,https://hdd.userbenchmark.com/SpeedTest/5929/ST3000NC002-1DY166
HDD,WD5000BHTZ,WD,VelociRaptor 2.5" 500GB,11,93.2,435,https://hdd.userbenchmark.com/SpeedTest/11902/WDC-WD5000BHTZ-04JCPV1
HDD,WD4004FZWX,WD,Black 4TB (2016),12,92.4,9888,https://hdd.userbenchmark.com/WD-Black-4TB-2016/Rating/3908
HDD,ST1000DM010,Seagate,Barracuda 1TB (2016),13,92.3,1120098,https://hdd.userbenchmark.com/Seagate-Barracuda-1TB-2016/Rating/3896
HDD,ST3000DM008,Seagate,Barracuda 3TB (2016),14,92.1,112118,https://hdd.userbenchmark.com/Seagate-Barracuda-3TB-2016/Rating/3898
HDD,ST2000DM006,Seagate,Barracuda 2TB (2016),15,91.6,462780,https://hdd.userbenchmark.com/Seagate-Barracuda-2TB-2016/Rating/3897
HDD,WD6001FZWX,WD,Black 6TB (2015),16,91.6,5447,https://hdd.userbenchmark.com/WD-Black-6TB-2015/Rating/3519
HDD,0F23267,HGST,Ultrastar He8 Helium 8TB,17,91.3,1061,https://hdd.userbenchmark.com/SpeedTest/29773/HGST-HUH728080ALE600
HDD,0F23668,HGST,Ultrastar He8 Helium 8TB,17,91.3,1061,https://hdd.userbenchmark.com/SpeedTest/29773/HGST-HUH728080ALE600
HDD,WD4002FYYZ,WD,Gold 4TB (2016),18,91.1,4829,https://hdd.userbenchmark.com/SpeedTest/147091/WDC-WD4002FYYZ-01B7CB0
HDD,ST3000VX000,Seagate,Video SV35.6 Series 3TB,19,90.5,6381,https://hdd.userbenchmark.com/SpeedTest/4903/ST3000VX000-9YW166
HDD,ST6000DX000,Seagate,Desktop HDD 6TB (2014),20,90.5,1278,https://hdd.userbenchmark.com/SpeedTest/12188/ST6000DX000-1H217Z
HDD,ST6000DM001,Seagate,Desktop HDD 6TB (2015),21,90.3,691,https://hdd.userbenchmark.com/SpeedTest/36984/ST6000DM001-1XY17Z
HDD,ST1000VX000,Seagate,Video SV35.6 Series 1TB,22,90.2,17310,https://hdd.userbenchmark.com/SpeedTest/6250/ST1000VX-ST1000VX000-1CU1
HDD,WD2500HHTZ,WD,VelociRaptor 250GB,23,90,3015,https://hdd.userbenchmark.com/SpeedTest/139/WDC-WD2500HHTZ-04N21V0
HDD,ST5000DM002,Seagate,Desktop HDD 5TB (2015),24,89.8,281,https://hdd.userbenchmark.com/SpeedTest/123827/ST5000DM002-1XY17X
HDD,ST4000VN008,Seagate,IronWolf 4TB (2016),25,89.6,26217,https://hdd.userbenchmark.com/Seagate-IronWolf-4TB-2016/Rating/3906
HDD,WD5000HHTZ,WD,VelociRaptor 500GB,26,89.4,8133,https://hdd.userbenchmark.com/SpeedTest/1434/WDC-WD5000HHTZ-04N21V0
HDD,ST1000DM003,Seagate,Barracuda 7200.14 1TB,27,89.2,1562409,https://hdd.userbenchmark.com/Seagate-Barracuda-720014-1TB/Rating/1849
HDD,WD100EFAX,WD,Red 10TB (2017),28,89.2,1763,https://hdd.userbenchmark.com/SpeedTest/324807/WDC-WD100EFAX-68LHPN0
HDD,ST2000VX000,Seagate,Video SV35.6 Series 2TB,29,89,12330,https://hdd.userbenchmark.com/Seagate-Video-SV356-Series-2TB/Rating/1816
HDD,WD2003FZEX,WD,Black 2TB (2013),30,88.5,144544,https://hdd.userbenchmark.com/WD-Black-2TB-2013/Rating/1821
HDD,ST3000DM001,Seagate,Barracuda 7200.14 3TB,31,88.3,235501,https://hdd.userbenchmark.com/Seagate-Barracuda-720014-3TB/Rating/1374
HDD,ST2000DM001,Seagate,Barracuda 7200.14 2TB,32,88.2,815515,https://hdd.userbenchmark.com/Seagate-Barracuda-720014-2TB/Rating/1619
HDD,HDWE150XZSTA,Toshiba,X300 5TB,33,88.2,12743,https://hdd.userbenchmark.com/Toshiba-X300-5TB/Rating/3593
HDD,HDWE150EZSTA,Toshiba,X300 5TB,33,88.2,12743,https://hdd.userbenchmark.com/Toshiba-X300-5TB/Rating/3593
HDD,HDWD120XZSTA,Toshiba,P300 2TB,34,87.9,100891,https://hdd.userbenchmark.com/Toshiba-P300-2TB/Rating/3590
HDD,HDWD120EZSTA,Toshiba,P300 2TB,34,87.9,100891,https://hdd.userbenchmark.com/Toshiba-P300-2TB/Rating/3590
HDD,HDWD120UZSVA,Toshiba,P300 2TB,34,87.9,100891,https://hdd.userbenchmark.com/Toshiba-P300-2TB/Rating/3590
HDD,WD2005FBYZ,WD,Gold 2TB (2016),35,87.8,5580,https://hdd.userbenchmark.com/SpeedTest/206650/WDC-WD2005FBYZ-01YCBB1
HDD,ST4000VX007,Seagate,SkyHawk 4TB (2016),36,87.2,7966,https://hdd.userbenchmark.com/SpeedTest/215593/ST4000VX007-2DT166
HDD,ST2000DM008,Seagate,Barracuda 2TB (2018),37,86.9,695066,https://hdd.userbenchmark.com/SpeedTest/466743/ST2000DM008-2FR102
HDD,PH3600U-1I72,Toshiba,MD04ACA600 6TB,38,86.8,686,https://hdd.userbenchmark.com/SpeedTest/35546/TOSHIBA-MD04ACA600
HDD,HDWE160XZSTA,Toshiba,X300 6TB,39,86.8,5594,https://hdd.userbenchmark.com/Toshiba-X300-6TB/Rating/3594
HDD,HDWE160EZSTA,Toshiba,X300 6TB,39,86.8,5594,https://hdd.userbenchmark.com/Toshiba-X300-6TB/Rating/3594
HDD,HDWD130XZSTA,Toshiba,P300 3TB,40,86.6,74038,https://hdd.userbenchmark.com/Toshiba-P300-3TB/Rating/3591
HDD,HDWD130EZSTA,Toshiba,P300 3TB,40,86.6,74038,https://hdd.userbenchmark.com/Toshiba-P300-3TB/Rating/3591
HDD,HDWD130UZSVA,Toshiba,P300 3TB,40,86.6,74038,https://hdd.userbenchmark.com/Toshiba-P300-3TB/Rating/3591
HDD,ST2000NC001,Seagate,Constellation CS 2TB,41,86.3,576,https://hdd.userbenchmark.com/SpeedTest/10959/ST2000NC001-1DY164
HDD,,Toshiba,DT01ACA200 2TB,42,85.7,344862,https://hdd.userbenchmark.com/Toshiba-DT01ACA200-2TB/Rating/2736
HDD,0S03835,HGST,Deskstar NAS 5TB,43,85.6,660,https://hdd.userbenchmark.com/SpeedTest/36844/HGST-HDN726050ALE610
HDD,WD80EFAX,WD,Red 8TB (2017),44,85.5,4534,https://hdd.userbenchmark.com/SpeedTest/314696/WDC-WD80EFAX-68LHPN0
HDD,PH3500U-1I72,Toshiba,MD04ACA500 5TB,45,85.4,3810,https://hdd.userbenchmark.com/Toshiba-MD04ACA500-5TB/Rating/3526
HDD,ST10000DM0004,Seagate,Barracuda Pro 10TB (2016),46,85.3,462,https://hdd.userbenchmark.com/Seagate-Barracuda-Pro-10TB-2016/Rating/3901
HDD,WD3001FFSX,WD,Red Pro 3TB (2014),47,85.2,548,https://hdd.userbenchmark.com/SpeedTest/27132/WDC-WD3001FFSX-68JNUN0
HDD,WD5001FZWX,WD,Black 5TB (2015),48,84.9,7245,https://hdd.userbenchmark.com/WD-Black-5TB-2015/Rating/3907
HDD,WD1005FBYZ,WD,Gold 1TB (2016),49,84.9,2872,https://hdd.userbenchmark.com/SpeedTest/204853/WDC-WD1005FBYZ-01YCBB1
HDD,,Toshiba,DT01ACA300 3TB,50,84.7,85620,https://hdd.userbenchmark.com/Toshiba-DT01ACA300-3TB/Rating/2735
HDD,ST2000DX002,Seagate,FireCuda SSHD 2TB (2016),51,84.5,133734,https://hdd.userbenchmark.com/Seagate-FireCuda-SSHD-2TB-2016/Rating/3903
HDD,HUS156045VLS600,Hitachi,UltraStar 15K600 450GB,52,84.5,113,https://hdd.userbenchmark.com/SpeedTest/9674/HITACHI-HUS156045VLS600
HDD,WD40PURZ,WD,Purple Surveillance 4TB (2017),53,84.3,8846,https://hdd.userbenchmark.com/SpeedTest/433989/WDC-WD40PURZ-85T
HDD,ST2000NM0033,Seagate,Constellation ES.3 2TB,54,84.2,5099,https://hdd.userbenchmark.com/SpeedTest/12036/ST2000NM0033-9ZM175
HDD,ST3300657SS,Seagate,Cheetah 15K.7 SAS 300GB,55,84.1,1032,https://hdd.userbenchmark.com/SpeedTest/9679/SEAGATE-ST3300657SS
HDD,WD4001FFSX,WD,Red Pro 4TB (2014),56,84.1,679,https://hdd.userbenchmark.com/WD-Red-Pro-4TB-2014/Rating/2664
HDD,HDWD110XZSTA,Toshiba,P300 1TB,57,84.1,318836,https://hdd.userbenchmark.com/Toshiba-P300-1TB/Rating/3589
HDD,HDWD110EZSTA,Toshiba,P300 1TB,57,84.1,318836,https://hdd.userbenchmark.com/Toshiba-P300-1TB/Rating/3589
HDD,HDWD110UZSVA,Toshiba,P300 1TB,57,84.1,318836,https://hdd.userbenchmark.com/Toshiba-P300-1TB/Rating/3589
HDD,,Toshiba,DT01ACA100 1TB,58,84,763289,https://hdd.userbenchmark.com/Toshiba-DT01ACA100-1TB/Rating/2737
HDD,HDWE140XZSTA,Toshiba,X300 4TB,59,84,23740,https://hdd.userbenchmark.com/Toshiba-X300-4TB/Rating/3592
HDD,HDWE140EZSTA,Toshiba,X300 4TB,59,84,23740,https://hdd.userbenchmark.com/Toshiba-X300-4TB/Rating/3592
HDD,ST1000NM0033,Seagate,Constellation ES.3 1TB,60,83.7,9374,https://hdd.userbenchmark.com/SpeedTest/7297/ST1000NM0033-9ZM173
HDD,WD10EZEX,WD,Blue 1TB (2012),61,83.4,3105054,https://hdd.userbenchmark.com/WD-Blue-1TB-2012/Rating/1779
