Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL
USB,MKNUFDVU240GB,Mushkin,Ventura Ultra USB 3.0 240GB,1,151,27,https://usb.userbenchmark.com/SpeedTest/7528/Mushkin-Ventura-Ultra
USB,MKNUFDVU60GB,Mushkin,Ventura Ultra USB 3.0 60GB,2,143,38,https://usb.userbenchmark.com/Mushkin-Ventura-Ultra-USB-30-60GB/Rating/2281
USB,MKNUFDVU120GB,Mushkin,Ventura Ultra USB 3.0 120GB,3,140,48,https://usb.userbenchmark.com/SpeedTest/8396/Mushkin-Ventura-Ultra
USB,CMFVYGTX3-256GB,Corsair,Flash Voyager GTX USB 3.0 256GB,4,114,71,https://usb.userbenchmark.com/SpeedTest/12583/Corsair-Voyager-GTX
USB,CMFVYGTX3-128GB,Corsair,Flash Voyager GTX USB 3.0 128GB,5,114,102,https://usb.userbenchmark.com/SpeedTest/13691/Corsair-Voyager-GTX
USB,SDCZ88-128G,SanDisk,Extreme Pro USB 3.0 128GB,6,81.4,1435,https://usb.userbenchmark.com/SpeedTest/7603/SanDisk-ExtremePro
USB,SDCZ80-064G,SanDisk,Extreme USB 3.0 64GB,7,74,6221,https://usb.userbenchmark.com/SanDisk-Extreme-USB-30-64GB/Rating/1459
USB,MUF-64BB/US,Samsung,FIT USB 3.0 64GB,8,69,4291,https://usb.userbenchmark.com/SpeedTest/36937/Samsung-Flash-Drive-FIT
USB,SDCZ80-032G,SanDisk,Extreme USB 3.0 32GB,9,64.5,4213,https://usb.userbenchmark.com/SanDisk-Extreme-USB-30-32GB/Rating/1466
USB,,Drobo,Mini 4.5TB,10,63.2,15,https://usb.userbenchmark.com/SpeedTest/2759/Drobo-Mini
USB,SDCZ80-016G,SanDisk,Extreme USB 3.0 16GB,11,62.1,2906,https://usb.userbenchmark.com/SanDisk-Extreme-USB-30-16GB/Rating/1301
USB,HXS3/512GB,Kingston,HyperX Savage USB 3.1 512GB,12,61.5,91,https://usb.userbenchmark.com/SpeedTest/80249/Kingston-HyperX-Savage
USB,HXS3/128GB,Kingston,HyperX Savage USB 3.1 128GB,13,60.9,665,https://usb.userbenchmark.com/SpeedTest/64443/Kingston-HyperX-Savage
USB,HXS3/256GB,Kingston,HyperX Savage USB 3.1 256GB,14,60.6,448,https://usb.userbenchmark.com/SpeedTest/47907/Kingston-HyperX-Savage
USB,MUF-32BB/AM,Samsung,FIT USB 3.0 32GB,15,58.9,3642,https://usb.userbenchmark.com/SpeedTest/38059/Samsung-Flash-Drive-FIT
USB,,Apricorn,SATAWire 256GB,16,58.6,34,https://usb.userbenchmark.com/SpeedTest/10670/Apricorn-SATAWire
USB,,Corsair,Voyager GS 126GB,17,58,50,https://usb.userbenchmark.com/SpeedTest/7514/Corsair-Voyager-GS
USB,SDCZ880-128G,SanDisk,Extreme Pro USB 3.1 128GB,18,57.8,1448,https://usb.userbenchmark.com/SpeedTest/236544/SanDisk-Extreme-Pro
USB,LJDP20-64GCRBNA,Lexar,JumpDrive P20 USB 3.0 64GB,19,56.4,539,https://usb.userbenchmark.com/Lexar-JumpDrive-P20-USB-30-64GB/Rating/3528
USB,LJDP20-64GCRBEU,Lexar,JumpDrive P20 USB 3.0 64GB,19,56.4,539,https://usb.userbenchmark.com/Lexar-JumpDrive-P20-USB-30-64GB/Rating/3528
USB,SDCZ880-256G,SanDisk,Extreme Pro USB 3.1 256GB,20,55.2,476,https://usb.userbenchmark.com/SpeedTest/248252/SanDisk-Extreme-Pro
USB,LJDP10-32GCRBEU,Lexar,JumpDrive P10 USB 3.0 32GB,21,54.5,80,https://usb.userbenchmark.com/Lexar-JumpDrive-P10-USB-30-32GB/Rating/1476
USB,,Samsung,D3 Station 2TB,22,51.3,2805,https://usb.userbenchmark.com/SpeedTest/5414/Samsung-D3-Station
USB,LJDP10-64GCRBNA,Lexar,JumpDrive P10 USB 3.0 64GB,23,49.7,65,https://usb.userbenchmark.com/Lexar-JumpDrive-P10-USB-30-64GB/Rating/1475
USB,LJDP10-64GCRBEU,Lexar,JumpDrive P10 USB 3.0 64GB,23,49.7,65,https://usb.userbenchmark.com/Lexar-JumpDrive-P10-USB-30-64GB/Rating/1475
USB,HXS3/64GB,Kingston,HyperX Savage USB 3.1 64GB,24,49.6,753,https://usb.userbenchmark.com/SpeedTest/41443/Kingston-HyperX-Savage
