Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL,Price
GPU,,Nvidia,RTX 4090,1,372,10672,https://gpu.userbenchmark.com/Nvidia-RTX-4090/Rating/4136,1795
GPU,GV-N4090GAMING OC-24GD,Gigabyte,Gigabyte RTX 4090 24GB Gaming OC,1,372,10672,https://gpu.userbenchmark.com/Nvidia-RTX-4090/Rating/4136,1795
GPU,TUF-RTX4090-24G-GAMING,Asus,Asus RTX 4090 24GB TUF Gaming OC,1,372,10672,https://gpu.userbenchmark.com/Nvidia-RTX-4090/Rating/4136,1795
GPU,GeForce RTX 4090 GAMING X TRIO 24G,MSI,MSI RTX 4090 24GB Gaming X Trio,1,372,10672,https://gpu.userbenchmark.com/Nvidia-RTX-4090/Rating/4136,1795
GPU,,Nvidia,RTX 4080,2,290,8664,https://gpu.userbenchmark.com/Nvidia-RTX-4080/Rating/4138,1224
GPU,RTX 4080 16GB GAMING X TRIO,MSI,MSI RTX 4080 16GB Gaming X Trio,2,290,8664,https://gpu.userbenchmark.com/Nvidia-RTX-4080/Rating/4138,1224
GPU,GV-N4080GAMING OC-16GD,Gigabyte,Gigabyte RTX 4080 16GB Gaming OC,2,290,8664,https://gpu.userbenchmark.com/Nvidia-RTX-4080/Rating/4138,1224
GPU,ZT-D40810B-10P,Zotac,Zotac RTX 4080 16GB AMP Extreme,2,290,8664,https://gpu.userbenchmark.com/Nvidia-RTX-4080/Rating/4138,1224
GPU,RTX 4080 16GB Suprim X,MSI,MSI RTX 4080 16GB Suprim X,2,290,8664,https://gpu.userbenchmark.com/Nvidia-RTX-4080/Rating/4138,1224
GPU,,AMD,RX 7900-XTX,3,254,392,https://gpu.userbenchmark.com/AMD-RX-7900-XTX/Rating/4142,1000
GPU,,Nvidia,RTX 4070-Ti,4,239,676,https://gpu.userbenchmark.com/Nvidia-RTX-4070-Ti/Rating/4146,850
GPU,RTX 4070 Ti GAMING X TRIO 12G,MSI,MSI RTX 4070 Ti 12GB Gaming X Trio,4,239,676,https://gpu.userbenchmark.com/Nvidia-RTX-4070-Ti/Rating/4146,850
GPU,GeForce RTX 4070 Ti VENTUS 3X 12G OC,MSI,MSI RTX 4070 Ti 12GB Ventus 3X,4,239,676,https://gpu.userbenchmark.com/Nvidia-RTX-4070-Ti/Rating/4146,850
GPU,ZT-D40710D-10P,Zotac,Zotac RTX 4070 Ti 12GB Trinity,4,239,676,https://gpu.userbenchmark.com/Nvidia-RTX-4070-Ti/Rating/4146,850
GPU,TUF-RTX4070TI-O12G-GAMING,Asus,Asus RTX 4070 Ti 12GB TUF Gaming OC,4,239,676,https://gpu.userbenchmark.com/Nvidia-RTX-4070-Ti/Rating/4146,850
GPU,GV-N407TEAGLE OC-12GD,Gigabyte,Gigabyte RTX 4070 Ti 12GB Eagle OC,4,239,676,https://gpu.userbenchmark.com/Nvidia-RTX-4070-Ti/Rating/4146,850
GPU,TUF-RTX4070TI-12G-GAMING,Asus,Asus RTX 4070 Ti 12GB TUF Gaming,4,239,676,https://gpu.userbenchmark.com/Nvidia-RTX-4070-Ti/Rating/4146,850
GPU,,Nvidia,RTX 3090-Ti,5,229,15217,https://gpu.userbenchmark.com/SpeedTest/1818101/NVIDIA-GeForce-RTX-3090-Ti,1199.99
GPU,,AMD,RX 7900-XT,6,220,860,https://gpu.userbenchmark.com/AMD-RX-7900-XT/Rating/4141,784.99
GPU,,Nvidia,RTX 3090,7,210,158856,https://gpu.userbenchmark.com/Nvidia-RTX-3090/Rating/4081,1449
GPU,‎ROG-STRIX-RTX3090-O24G-GAMING,Asus,Asus RTX 3090 24GB ROG Strix,7,210,158856,https://gpu.userbenchmark.com/Nvidia-RTX-3090/Rating/4081,1449
GPU,‎TUF-RTX3090-O24G-GAMING,Asus,Asus RTX 3090 24GB Tuf OC,7,210,158856,https://gpu.userbenchmark.com/Nvidia-RTX-3090/Rating/4081,1449
GPU, ‎RTX 3090 GAMING X TRIO 24G,MSI,MSI RTX 3090 24GB Gaming X Trio OC,7,210,158856,https://gpu.userbenchmark.com/Nvidia-RTX-3090/Rating/4081,1449
GPU,‎ZT-A30900J-10P,Zotac,Zotac RTX 3090 24GB Trinity OC,7,210,158856,https://gpu.userbenchmark.com/Nvidia-RTX-3090/Rating/4081,1449
GPU,24G-P5-3987-KR,EVGA,EVGA RTX 3090 24GB XC3 Ultra Gaming,7,210,158856,https://gpu.userbenchmark.com/Nvidia-RTX-3090/Rating/4081,1449
GPU,GeForce RTX 3090 VENTUS 3X 24G OC,MSI,MSI RTX 3090 24GB Ventus 3X OC,7,210,158856,https://gpu.userbenchmark.com/Nvidia-RTX-3090/Rating/4081,1449
GPU,,Nvidia,RTX 3080-Ti,8,206,166050,https://gpu.userbenchmark.com/Nvidia-RTX-3080-Ti/Rating/4115,1100
GPU,12G-P5-3967-KR,EVGA,EVGA RTX 3080 Ti 12GB FTW3 Ultra Gaming,8,206,166050,https://gpu.userbenchmark.com/Nvidia-RTX-3080-Ti/Rating/4115,1100
GPU,TUF-RTX3080TI-O12G-GAMING,Asus,Asus RTX 3080 Ti 12GB Tuf OC,8,206,166050,https://gpu.userbenchmark.com/Nvidia-RTX-3080-Ti/Rating/4115,1100
GPU,GV-N308TGAMING OC-12GD,Gigabyte,Gigabyte RTX 3080 Ti 12GB Gaming OC,8,206,166050,https://gpu.userbenchmark.com/Nvidia-RTX-3080-Ti/Rating/4115,1100
GPU,‎RTX 3080 Ti Gaming X Trio 12G,MSI,MSI RTX 3080 Ti 12GB Gaming X Trio OC,8,206,166050,https://gpu.userbenchmark.com/Nvidia-RTX-3080-Ti/Rating/4115,1100
