Type,Part Number,Brand,Model,Rank,Benchmark,Samples,URL,Price
CPU,BX8071513900KS,Intel,Core i9-13900KS,1,135,1,https://cpu.userbenchmark.com/SpeedTest/2000819/13th-Gen-IntelR-CoreTM-i9-13900KS,730
CPU,BX8071513900K,Intel,Core i9-13900K,2,129,7910,https://cpu.userbenchmark.com/Intel-Core-i9-13900K/Rating/4129,520
CPU,BX8071513900KF,Intel,Core i9-13900KF,3,129,1971,https://cpu.userbenchmark.com/SpeedTest/1946957/13th-Gen-IntelR-CoreTM-i9-13900KF,560
CPU,BX8071513700KF,Intel,Core i7-13700KF,4,126,3057,https://cpu.userbenchmark.com/SpeedTest/1925886/13th-Gen-IntelR-CoreTM-i7-13700KF,394
CPU,BX8071513700K,Intel,Core i7-13700K,5,126,8350,https://cpu.userbenchmark.com/Intel-Core-i7-13700K/Rating/4137,418
CPU,BX8071513900F,Intel,Core i9-13900F,6,124,5,https://cpu.userbenchmark.com/SpeedTest/1994287/13th-Gen-IntelR-CoreTM-i9-13900F,568
CPU,BX8071513600KF,Intel,Core i5-13600KF,7,122,3958,https://cpu.userbenchmark.com/SpeedTest/1950757/13th-Gen-IntelR-CoreTM-i5-13600KF,300
CPU,BX8071513600K,Intel,Core i5-13600K,8,122,6765,https://cpu.userbenchmark.com/Intel-Core-i5-13600K/Rating/4134,297
CPU,BX8071513700F,Intel,Core i7-13700F,9,121,5,https://cpu.userbenchmark.com/SpeedTest/1997481/13th-Gen-IntelR-CoreTM-i7-13700F,380
CPU,BX8071513700,Intel,Core i7-13700,10,120,3,https://cpu.userbenchmark.com/SpeedTest/1963418/13th-Gen-IntelR-CoreTM-i7-13700,399
CPU,BX8071512900KS,Intel,Core i9-12900KS,11,119,3230,https://cpu.userbenchmark.com/SpeedTest/1821519/12th-Gen-IntelR-CoreTM-i9-12900KS,513
CPU,BX8071512900KF,Intel,Core i9-12900KF,12,118,8569,https://cpu.userbenchmark.com/SpeedTest/1685583/12th-Gen-IntelR-CoreTM-i9-12900KF,397
CPU,BX8071512900K,Intel,Core i9-12900K,13,117,48653,https://cpu.userbenchmark.com/Intel-Core-i9-12900K/Rating/4118,400
CPU,100-100000514WOF,AMD,Ryzen 9 7950X,14,114,437,https://cpu.userbenchmark.com/AMD-Ryzen-9-7950X/Rating/4133,589
CPU,BX8071512700K,Intel,Core i7-12700K,15,114,60685,https://cpu.userbenchmark.com/Intel-Core-i7-12700K/Rating/4119,300
CPU,BX8071512700KF,Intel,Core i7-12700KF,16,113,29297,https://cpu.userbenchmark.com/SpeedTest/1699429/12th-Gen-IntelR-CoreTM-i7-12700KF,487
CPU,BX8071512900F,Intel,Core i9-12900F,17,113,824,https://cpu.userbenchmark.com/SpeedTest/1757838/12th-Gen-IntelR-CoreTM-i9-12900F,384
CPU,100-100000589WOF,AMD,Ryzen 9 7900X,18,113,361,https://cpu.userbenchmark.com/AMD-Ryzen-9-7900X/Rating/4132,277
CPU,100-100000591WOF,AMD,Ryzen 7 7700X,19,112,740,https://cpu.userbenchmark.com/AMD-Ryzen-7-7700X/Rating/4131,329
CPU,BX8071513500,Intel,Core i5-13500,20,111,10,https://cpu.userbenchmark.com/SpeedTest/2009365/13th-Gen-IntelR-CoreTM-i5-13500,285
CPU,BX8071512900,Intel,Core i9-12900,21,111,1050,https://cpu.userbenchmark.com/SpeedTest/1668917/12th-Gen-IntelR-CoreTM-i9-12900,420
CPU,100-100000593WOF,AMD,Ryzen 5 7600X,22,110,629,https://cpu.userbenchmark.com/AMD-Ryzen-5-7600X/Rating/4130,240
CPU,BX8071512600K,Intel,Core i5-12600K,23,109,51264,https://cpu.userbenchmark.com/Intel-Core-i5-12600K/Rating/4120,223
CPU,BX8071512600KF,Intel,Core i5-12600KF,24,109,14090,https://cpu.userbenchmark.com/SpeedTest/1700734/12th-Gen-IntelR-CoreTM-i5-12600KF,222
CPU,BX8071512700F,Intel,Core i7-12700F,25,109,9735,https://cpu.userbenchmark.com/Intel-Core-i7-12700F/Rating/4124,290
CPU,,Intel,Core i7-12650HX,26,107,1,https://cpu.userbenchmark.com/SpeedTest/1798547/12th-Gen-IntelR-CoreTM-i7-12650HX,"Price too high, setting to 0"
CPU,BX8071512700,Intel,Core i7-12700,27,107,9190,https://cpu.userbenchmark.com/SpeedTest/1750830/12th-Gen-IntelR-CoreTM-i7-12700,"Price too high, setting to 0"
CPU,,Intel,Core i9-12950HX,28,106,291,https://cpu.userbenchmark.com/SpeedTest/1842274/12th-Gen-IntelR-CoreTM-i9-12950HX,"Price too high, setting to 0"
CPU,BX8071513400F,Intel,Core i5-13400F,29,106,17,https://cpu.userbenchmark.com/Intel-Core-i5-13400F/Rating/4144,205
CPU,,Intel,Core i9-12900HX,30,105,391,https://cpu.userbenchmark.com/SpeedTest/1832602/12th-Gen-IntelR-CoreTM-i9-12900HX,"Price too high, setting to 0"
CPU,100-100000651WOF,AMD,Ryzen 7 5800X3D,31,104,5602,https://cpu.userbenchmark.com/SpeedTest/1817839/AMD-Ryzen-7-5800X3D-8-Core-Processor,323
CPU,BX8070811900K,Intel,Core i9-11900K,32,103,35456,https://cpu.userbenchmark.com/Intel-Core-i9-11900K/Rating/4110,350
CPU,BX8070811900KF,Intel,Core i9-11900KF,33,103,7179,https://cpu.userbenchmark.com/SpeedTest/1515781/11th-Gen-IntelR-CoreTM-i9-11900KF---350GHz,329
CPU,BX8071512600,Intel,Core i5-12600,34,102,1871,https://cpu.userbenchmark.com/SpeedTest/1751978/12th-Gen-IntelR-CoreTM-i5-12600,222
CPU,BX8070811700K,Intel,Core i7-11700K,35,101,61928,https://cpu.userbenchmark.com/Intel-Core-i7-11700K/Rating/4107,"Price too high, setting to 0"
CPU,,Intel,Core i9-12900HK,36,101,780,https://cpu.userbenchmark.com/SpeedTest/1763927/12th-Gen-IntelR-CoreTM-i9-12900HK,279
CPU,BX8070811700KF,Intel,Core i7-11700KF,37,101,14927,https://cpu.userbenchmark.com/SpeedTest/1514594/11th-Gen-IntelR-CoreTM-i7-11700KF---360GHz,276
CPU,BX8070811900,Intel,Core i9-11900,38,100,3222,https://cpu.userbenchmark.com/SpeedTest/1515871/11th-Gen-IntelR-CoreTM-i9-11900---250GHz,400
CPU,100-100000059WOF,AMD,Ryzen 9 5950X,39,99.9,31947,https://cpu.userbenchmark.com/AMD-Ryzen-9-5950X/Rating/4086,499
CPU,,Intel,Core i9-12900H,40,99.7,5772,https://cpu.userbenchmark.com/SpeedTest/1757877/12th-Gen-IntelR-CoreTM-i9-12900H,"Price too high, setting to 0"
CPU,BX8070110900K,Intel,Core i9-10900K,41,99.6,107269,https://cpu.userbenchmark.com/Intel-Core-i9-10900K/Rating/4071,350
CPU,BX8070110900KF,Intel,Core i9-10900KF,42,99.5,21040,https://cpu.userbenchmark.com/SpeedTest/1174369/IntelR-CoreTM-i9-10900KF-CPU---370GHz,343
CPU,BX8070811600KF,Intel,Core i5-11600KF,43,99.4,7012,https://cpu.userbenchmark.com/SpeedTest/1512279/11th-Gen-IntelR-CoreTM-i5-11600KF---390GHz,207
CPU,BX8070811600K,Intel,Core i5-11600K,44,99.2,30311,https://cpu.userbenchmark.com/Intel-Core-i5-11600K/Rating/4113,205
CPU,100-100000061WOF,AMD,Ryzen 9 5900X,45,99,79047,https://cpu.userbenchmark.com/AMD-Ryzen-9-5900X/Rating/4087,340
CPU,BX8071512500,Intel,Core i5-12500,46,98.9,1981,https://cpu.userbenchmark.com/Intel-Core-i5-12500/Rating/4123,290
CPU,BX8070110850K,Intel,Core i9-10850K,47,98.9,84873,https://cpu.userbenchmark.com/SpeedTest/1255865/IntelR-CoreTM-i9-10850K-CPU---360GHz,231
CPU,BX80684I99900KS,Intel,Core i9-9900KS,48,98.8,12840,https://cpu.userbenchmark.com/SpeedTest/929964/IntelR-CoreTM-i9-9900KS-CPU---400GHz,689
CPU,BX8071512400F,Intel,Core i5-12400F,49,98.4,17307,https://cpu.userbenchmark.com/Intel-Core-i5-12400F/Rating/4121,160
CPU,BX8071512400,Intel,Core i5-12400,50,98.3,8984,https://cpu.userbenchmark.com/Intel-Core-i5-12400/Rating/4122,183
CPU,,Intel,Core i7-12800H,51,98.2,513,https://cpu.userbenchmark.com/SpeedTest/1760724/12th-Gen-IntelR-CoreTM-i7-12800H,
CPU,BX8070811700,Intel,Core i7-11700,52,98.2,10278,https://cpu.userbenchmark.com/SpeedTest/1450761/11th-Gen-IntelR-CoreTM-i7-11700---250GHz,
CPU,BX80684I99900K,Intel,Core i9-9900K,53,97.9,354223,https://cpu.userbenchmark.com/Intel-Core-i9-9900K/Rating/4028,
CPU,100-100000063WOF,AMD,Ryzen 7 5800X,54,97.9,148645,https://cpu.userbenchmark.com/AMD-Ryzen-7-5800X/Rating/4085,
CPU,BX80684I99900KF,Intel,Core i9-9900KF,55,97.8,50265,https://cpu.userbenchmark.com/SpeedTest/764533/IntelR-CoreTM-i9-9900KF-CPU---360GHz,
CPU,BX8070811900F,Intel,Core i9-11900F,56,97.7,3720,https://cpu.userbenchmark.com/SpeedTest/1492552/11th-Gen-IntelR-CoreTM-i9-11900F---250GHz,
CPU,,Intel,Core i7-12700H,57,97.2,15267,https://cpu.userbenchmark.com/SpeedTest/1750314/12th-Gen-IntelR-CoreTM-i7-12700H,
CPU,BX80684I79700KF,Intel,Core i7-9700KF,58,97.1,32736,https://cpu.userbenchmark.com/SpeedTest/710154/IntelR-CoreTM-i7-9700KF-CPU---360GHz,
CPU,BX8070811600,Intel,Core i5-11600,59,97.1,2653,https://cpu.userbenchmark.com/SpeedTest/1543284/11th-Gen-IntelR-CoreTM-i5-11600---280GHz,
CPU,,AMD,Ryzen 9 5900,60,97,524,https://cpu.userbenchmark.com/SpeedTest/1528736/AMD-Ryzen-9-5900-12-Core-Processor,
CPU,BX80684I79700K,Intel,Core i7-9700K,61,96.9,550833,https://cpu.userbenchmark.com/Intel-Core-i7-9700K/Rating/4030,
CPU,BX8071513100F,Intel,Core i3-13100F,62,96.6,2,https://cpu.userbenchmark.com/Intel-Core-i3-13100F/Rating/4143,
CPU,BX8070110700K,Intel,Core i7-10700K,63,96.5,198859,https://cpu.userbenchmark.com/Intel-Core-i7-10700K/Rating/4070,
CPU,BX8070110700KF,Intel,Core i7-10700KF,64,96.3,37394,https://cpu.userbenchmark.com/SpeedTest/1171560/IntelR-CoreTM-i7-10700KF-CPU---380GHz,
CPU,,AMD,Ryzen 7 5800,65,96,1579,https://cpu.userbenchmark.com/SpeedTest/1496609/AMD-Ryzen-7-5800-8-Core-Processor,
CPU,100-100000065BOX,AMD,Ryzen 5 5600X,66,96,294232,https://cpu.userbenchmark.com/AMD-Ryzen-5-5600X/Rating/4084,
CPU,BX8070811500,Intel,Core i5-11500,67,95.9,2674,https://cpu.userbenchmark.com/SpeedTest/1496869/11th-Gen-IntelR-CoreTM-i5-11500---270GHz,
CPU,,Intel,Core i7-12650H,68,95.9,2270,https://cpu.userbenchmark.com/SpeedTest/1807229/12th-Gen-IntelR-CoreTM-i7-12650H,
CPU,100-100000926WOF,AMD,Ryzen 7 5700X,69,95.8,5973,https://cpu.userbenchmark.com/SpeedTest/1823386/AMD-Ryzen-7-5700X-8-Core-Processor,
CPU,BX8070110900F,Intel,Core i9-10900F,70,95.4,8499,https://cpu.userbenchmark.com/SpeedTest/1196789/IntelR-CoreTM-i9-10900F-CPU---280GHz,
CPU,,Intel,Core i5-12600H,71,95.3,21,https://cpu.userbenchmark.com/SpeedTest/1847567/12th-Gen-IntelR-CoreTM-i5-12600H,
CPU,BX8071512300,Intel,Core i3-12300,72,95.2,28,https://cpu.userbenchmark.com/SpeedTest/1796462/12th-Gen-IntelR-CoreTM-i3-12300,
CPU,BX8071512100,Intel,Core i3-12100,73,94.3,611,https://cpu.userbenchmark.com/Intel-Core-i3-12100/Rating/4126,
CPU,BX8071512100F,Intel,Core i3-12100F,74,94.2,3674,https://cpu.userbenchmark.com/Intel-Core-i3-12100F/Rating/4125,
CPU,BX8070811400F,Intel,Core i5-11400F,75,94.1,29020,https://cpu.userbenchmark.com/Intel-Core-i5-11400F/Rating/4111,
CPU,,Intel,Core i9-10900,76,94,11130,https://cpu.userbenchmark.com/SpeedTest/1169242/IntelR-CoreTM-i9-10900-CPU---280GHz,
CPU,,Intel,Core i5-12500H,77,93.9,2018,https://cpu.userbenchmark.com/SpeedTest/1793224/12th-Gen-IntelR-CoreTM-i5-12500H,
CPU,BX8070811400,Intel,Core i5-11400,78,93.9,18357,https://cpu.userbenchmark.com/Intel-Core-i5-11400/Rating/4112,
CPU,BX80684I59600K,Intel,Core i5-9600K,79,93.2,321194,https://cpu.userbenchmark.com/Intel-Core-i5-9600K/Rating/4031,
CPU,BX8070110700F,Intel,Core i7-10700F,80,93.2,44448,https://cpu.userbenchmark.com/SpeedTest/1183814/IntelR-CoreTM-i7-10700F-CPU---290GHz,
CPU,BX80684I59600KF,Intel,Core i5-9600KF,81,93.2,65122,https://cpu.userbenchmark.com/SpeedTest/772658/IntelR-CoreTM-i5-9600KF-CPU---370GHz,
CPU,100-100000927BOX,AMD,Ryzen 5 5600,82,93.1,6444,https://cpu.userbenchmark.com/SpeedTest/1822932/AMD-Ryzen-5-5600-6-Core-Processor,
CPU,,Intel,Core i9-11980HK,83,93,924,https://cpu.userbenchmark.com/SpeedTest/1569162/11th-Gen-IntelR-CoreTM-i9-11980HK---260GHz,
CPU,BX8070811700F,Intel,Core i7-11700F,84,92.8,24456,https://cpu.userbenchmark.com/SpeedTest/1522100/11th-Gen-IntelR-CoreTM-i7-11700F---250GHz,
CPU,BX8070110700,Intel,Core i7-10700,85,92.6,71010,https://cpu.userbenchmark.com/Intel-Core-i7-10700/Rating/4077,
